RQ,电机后轴温度,电机前轴温度,电机绕组温度,电流,电压,瞬时流量,闸阀开度,真空度
2017-03-10 23:07:00,69.56923635789472,70.76923329894737,86.14574874105266,108.71482126315792,10.06798262368421,0.0,83.1612460468421,-0.868057251
2017-03-10 23:08:00,69.58632914444443,70.78632608888887,86.20512644666667,108.88551202777779,10.064043363888887,0.0,83.16615337666668,-0.8487675984444443
2017-03-10 23:09:00,69.56923635789472,70.76923329894737,86.26720669368417,108.89985336315792,10.077851094210526,0.0,83.16581444789473,4.468199479000001
2017-03-10 23:10:00,69.58947955105262,70.78947649157895,86.29149788315786,109.31332357894739,10.089912565263157,0.0,83.15819950842103,-0.868057251
2017-03-10 23:11:00,69.5854311536842,70.78542809368422,86.31579027578944,108.92955096842104,10.08333351736842,0.0,83.15667684157896,-0.868057251
2017-03-10 23:12:00,69.5813823542105,70.78542769263156,86.35222585684207,108.8724417263158,10.088816091052633,0.0,83.14297163999998,9.749632985947366
2017-03-10 23:13:00,69.67179955555557,70.87179649999999,86.37179607666664,109.28819445555555,10.074846002777779,0.0,83.16936874333334,15.952930450444448
2017-03-10 23:14:00,69.761542893,70.96153983900001,86.40769157499999,109.35546950499997,10.095833444000002,0.0,83.15248908749999,-0.868057251
2017-03-10 23:15:00,69.79145643444446,70.99145338222223,86.46154021999997,109.33159807222222,10.091049671111112,0.0,83.15490086722222,-0.8680572509999999
2017-03-10 23:16:00,69.85982979777776,71.05982674777778,86.4829063411111,109.9681705777778,10.099537211111112,0.0,83.16776063555557,-0.8680572509999999
2017-03-10 23:17:00,69.90121700789476,71.10121395789476,86.48178220947366,109.61714173157895,10.100146243684211,0.0,83.1582003131579,-0.868057251
2017-03-10 23:18:00,69.95812013555555,71.15811708555555,86.48718007333333,109.21585718333331,10.104552426666666,0.0,83.15007824277775,-0.8584124247222221
2017-03-10 23:19:00,70.05384902799997,71.25384597799999,86.52692184600002,109.75260429500001,10.11562495,0.0,83.16116943149999,4.175345611550003
2017-03-10 23:20:00,70.12308006099997,71.32793546947366,86.54655898210527,109.77019379473684,10.098684309473684,0.0,83.16429178157895,-0.8497828433157893
2017-03-10 23:21:00,70.17247089631577,71.37246784631577,86.54655818000002,109.34987278947368,10.07383080489474,0.0,83.15210844157893,-0.8589200471578946
2017-03-10 23:22:00,70.20486048578945,71.40485743578945,86.58299616736844,108.64400480526317,10.090277871578948,0.0,83.15667764578947,-0.868057251
